StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 23:12,7/9/14 23:13,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 23:12,7/9/14 23:13,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,,Bachelor degree,New England
7/9/14 23:08,7/9/14 23:11,Married,16-20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,,Bachelor degree,Mountain
7/9/14 23:01,7/9/14 23:03,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other (please specify),Data Entry for a Marketing Company,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 22:59,7/9/14 23:01,Married,16-20 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 22:58,7/9/14 23:00,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,Night working/very different sleeping times,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Transportation and Materials Moving Occupations,,Male,30-44,,Bachelor degree,South Atlantic
7/9/14 22:58,7/9/14 23:01,Married,6-10 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 22:55,7/9/14 22:56,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Building and Grounds Cleaning and Maintenance Occupations,,Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic
7/9/14 22:53,7/9/14 22:55,Married,11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 22:53,7/9/14 22:53,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
