StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 20:08,7/9/14 20:13,Married,6-10 years,Every night,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,One of us needs to sleep with a child,,Other (please specify),Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Legal Occupations,,Male,30-44,"$150,000.00",Graduate degree,Mountain
7/9/14 20:08,7/9/14 20:12,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain
7/9/14 20:07,7/9/14 20:09,In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$150,000.00",Some college or Associate degree,South Atlantic
7/9/14 20:07,7/9/14 20:12,Married,More than 20 years,Once a year or less,On the couch/chair,,On the couch/chair,,,,,,,,,,,Night working/very different sleeping times,,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Management Occupations,,Male,45-60,"$150,000.00",Graduate degree,Middle Atlantic
7/9/14 20:07,7/9/14 20:09,Married,More than 20 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,Other (please specify),Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Management Occupations,,,,,,
7/9/14 20:07,7/9/14 20:08,Married,More than 20 years,Once a month or less,On the couch/chair,,On the couch/chair,,One of us snores,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 20:05,7/9/14 20:06,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$150,000.00",Graduate degree,West North Central
7/9/14 20:05,7/9/14 20:05,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 20:05,7/9/14 20:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Female,> 60,,Bachelor degree,East South Central
7/9/14 20:04,7/9/14 20:05,In a domestic partnership or civil union,More than 20 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,,,,,,,,,,
7/9/14 20:03,7/9/14 20:06,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,We have different temperature preferences for the room,,,,,,,After 20 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Management Occupations,,Male,30-44,"$50,000 - $99,999",High school degree,New England
7/9/14 20:03,7/9/14 20:06,Married,11-15 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,We are no longer physically intimate,We have different temperature preferences for the room,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Other (please specify),Telecommunications,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 20:03,7/9/14 20:05,Married,16-20 years,Once a year or less,On the couch/chair,,Other (please specify),one or the other may sleep in the chair if we don't feel good,,,One of us is sick,,We have different temperature preferences for the room,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
7/9/14 20:02,7/9/14 20:04,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Wood product industry- manufacturing,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 20:02,7/9/14 20:05,Married,16-20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Other (please specify),librarian,Female,> 60,,Bachelor degree,Middle Atlantic
7/9/14 20:02,7/9/14 20:03,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Legal Occupations,,Female,> 60,"$100,000 - $149,999",Graduate degree,New England
7/9/14 20:01,7/9/14 20:06,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,Night working/very different sleeping times,,Within 11-15 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat disagree,Other (please specify),retired,Male,> 60,,Some college or Associate degree,East North Central
7/9/14 20:01,7/9/14 20:04,Married,More than 20 years,A few times per month,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,Not enough space,,,,,After 20 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,,Bachelor degree,South Atlantic
7/9/14 20:01,7/9/14 20:02,Widowed,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 20:01,7/9/14 20:04,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 20:01,7/9/14 20:02,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired Management,Female,> 60,"$100,000 - $149,999",Bachelor degree,New England
7/9/14 20:01,7/9/14 20:03,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Other (please specify),retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic
7/9/14 20:01,7/9/14 20:03,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Healthcare Practitioners and Technical Occupations,,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 19:59,7/9/14 20:01,Married,16-20 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,One of us makes frequent bathroom trips in the night,,We are no longer physically intimate,,,Not enough space,Do not want to share the covers,,,,Within 16-20 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
7/9/14 19:58,7/9/14 19:59,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),police,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific
7/9/14 19:57,7/9/14 19:58,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,> 60,,Graduate degree,West South Central
7/9/14 19:57,7/9/14 19:58,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Caregiver,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
7/9/14 19:57,7/9/14 19:59,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$0 - $24,999",Less than high school degree,East North Central
7/9/14 19:56,7/9/14 19:59,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,Other (please specify),After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),retired,Female,> 60,,Bachelor degree,East North Central
7/9/14 19:56,7/9/14 19:57,Married,11-15 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$100,000 - $149,999",Graduate degree,New England
7/9/14 19:56,7/9/14 19:57,Married,More than 20 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,We have different temperature preferences for the room,,,,,,Other (please specify),Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Business and Financial Operations Occupations,,Male,30-44,,High school degree,Mountain
7/9/14 19:55,7/9/14 19:58,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat agree,Other (please specify),Flight Instructor,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central
7/9/14 19:55,7/9/14 19:56,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,,,,,
7/9/14 19:55,7/9/14 19:57,"Single, but cohabiting with a significant other",11-15 years,Every night,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,We are no longer physically intimate,,,,,,,,Within 11-15 years of our relationship,Somewhat agree,Somewhat agree,Somewhat agree,"Education, Training, and Library Occupations",,Male,> 60,"$150,000.00",Graduate degree,Middle Atlantic
7/9/14 19:55,7/9/14 19:58,Married,More than 20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),After 20 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Other (please specify),Retired. do babysit for my grandchild but not for money.,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
7/9/14 19:55,7/9/14 19:55,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
7/9/14 19:55,7/9/14 19:55,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,,,,,
7/9/14 19:54,7/9/14 19:56,Married,11-15 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,We are no longer physically intimate,We have different temperature preferences for the room,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other (please specify),retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic
7/9/14 19:54,7/9/14 19:55,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
7/9/14 19:54,7/9/14 19:58,Married,More than 20 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,One of us is sick,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Other (please specify),retired,Female,> 60,"$150,000.00",Bachelor degree,East North Central
7/9/14 19:54,7/9/14 19:58,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Sales and Related Occupations,,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
7/9/14 19:54,7/9/14 19:54,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,30-44,,Some college or Associate degree,Pacific
7/9/14 19:53,7/9/14 19:55,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,> 60,,Some college or Associate degree,West North Central
7/9/14 19:53,7/9/14 19:56,Married,More than 20 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East South Central
7/9/14 19:53,7/9/14 19:55,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 19:53,7/9/14 19:55,"Single, but cohabiting with a significant other",More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),government grant,Male,45-60,,Bachelor degree,East North Central
7/9/14 19:53,7/9/14 19:54,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
7/9/14 19:53,7/9/14 19:54,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Female,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 19:53,7/9/14 19:55,Married,1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Other (please specify),Stay at home parent,Female,30-44,,Some college or Associate degree,West South Central
7/9/14 19:52,7/9/14 19:54,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Other (please specify),Retired,Female,> 60,,Bachelor degree,West North Central
7/9/14 19:52,7/9/14 19:54,"Single, but cohabiting with a significant other",Less than 1 year,A few times per week,Separate bedroom,,Separate bedroom,,,,,,We have different temperature preferences for the room,,Not enough space,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Somewhat disagree,Somewhat disagree,Strongly disagree,Food Preparation and Serving Related Occupations,,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central
7/9/14 19:52,7/9/14 19:54,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,We've had an argument or fight,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Computer and Mathematical Occupations,,Female,18-29,"$25,000 - $49,999",Bachelor degree,West North Central
7/9/14 19:52,7/9/14 19:54,Married,6-10 years,Every night,"Shared bedroom, but one of us sleeps on the floor",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",,Male,30-44,"$25,000 - $49,999",High school degree,East North Central
7/9/14 19:52,7/9/14 19:55,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,We have different temperature preferences for the room,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East South Central
7/9/14 19:52,7/9/14 19:54,Married,1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 19:52,7/9/14 20:03,Married,6-10 years,A few times per month,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,One of us is sick,,,,,,One of us needs to sleep with a child,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Architecture and Engineering Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 19:52,7/9/14 19:53,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central
7/9/14 19:52,7/9/14 19:52,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,30-44,"$150,000.00",Bachelor degree,East North Central
7/9/14 19:51,7/9/14 19:52,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
7/9/14 19:51,7/9/14 19:53,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Locksmith,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
7/9/14 19:51,7/9/14 19:53,Married,11-15 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Strongly disagree,Management Occupations,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
7/9/14 19:51,7/9/14 19:52,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,30-44,"$50,000 - $99,999",Graduate degree,New England
7/9/14 19:51,7/9/14 19:52,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
7/9/14 19:51,7/9/14 19:53,Married,More than 20 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Other (please specify),Retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 19:51,7/9/14 19:53,"Single, but cohabiting with a significant other",1-5 years,Every night,Other (please specify),This does not occur,Other (please specify),Same as above,,,,,,,,,,,Other (please specify),After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Support Occupations,,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
7/9/14 19:51,7/9/14 19:54,Married,11-15 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 19:50,7/9/14 19:53,Married,More than 20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,"Education, Training, and Library Occupations",,Female,> 60,"$100,000 - $149,999",Graduate degree,West North Central
7/9/14 19:50,7/9/14 19:53,Married,6-10 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,We have different temperature preferences for the room,,,,,,Other (please specify),Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 19:50,7/9/14 19:51,Divorced,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 19:50,7/9/14 19:52,Married,11-15 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Strongly agree,"Education, Training, and Library Occupations",,Female,30-44,,Bachelor degree,West South Central
7/9/14 19:50,7/9/14 19:51,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 19:50,7/9/14 19:53,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,"Education, Training, and Library Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 19:50,7/9/14 19:53,Married,11-15 years,A few times per week,On the couch/chair,,"Shared bedroom, different bed",,,,,,,,,,,,Other (please specify),Within 6-10 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
7/9/14 19:50,7/9/14 19:53,Married,6-10 years,Once a month or less,On the couch/chair,,On the couch/chair,,,,,,,We've had an argument or fight,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Sales and Related Occupations,,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
7/9/14 19:49,7/9/14 19:51,Married,More than 20 years,Every night,On the couch/chair,,"Shared bedroom, different bed",,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Other (please specify),law enforcement,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 19:49,7/9/14 19:51,In a domestic partnership or civil union,Less than 1 year,Once a month or less,On the couch/chair,,On the couch/chair,,,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Male,30-44,"$25,000 - $49,999",Graduate degree,Mountain
7/9/14 19:49,7/9/14 19:49,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,,,,,
7/9/14 19:49,7/9/14 19:51,Married,More than 20 years,Every night,"Shared bedroom, different bed",,"Shared bedroom, different bed",,One of us snores,One of us makes frequent bathroom trips in the night,,,We have different temperature preferences for the room,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Other (please specify),Management & Community Development Consultant,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
7/9/14 19:48,7/9/14 19:49,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 19:49,7/9/14 19:50,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central
7/9/14 19:49,7/9/14 19:50,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 19:49,7/9/14 19:51,Married,1-5 years,Once a year or less,On the couch/chair,,On the couch/chair,,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Healthcare Support Occupations,,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
7/9/14 19:49,7/9/14 19:49,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 19:48,7/9/14 19:49,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,> 60,"$150,000.00",Graduate degree,West North Central
7/9/14 19:48,7/9/14 19:50,In a domestic partnership or civil union,6-10 years,A few times per month,Separate bedroom,,Separate bedroom,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Other (please specify),Speculator,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 19:48,7/9/14 19:50,Married,11-15 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,,Other (please specify),Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Legal Occupations,,Female,30-44,,Graduate degree,Middle Atlantic
7/9/14 19:48,7/9/14 19:50,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Architecture and Engineering Occupations,,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 19:48,7/9/14 19:50,Married,More than 20 years,Once a month or less,Separate bedroom,,Separate bedroom,,,,,,,,,,One of us needs to sleep with a child,,Other (please specify),Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Business and Financial Operations Occupations,,Male,30-44,"$150,000.00",Bachelor degree,Middle Atlantic
7/9/14 19:47,7/9/14 19:48,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Government,Male,45-60,,Graduate degree,South Atlantic
7/9/14 19:47,7/9/14 19:49,"Single, but cohabiting with a significant other",1-5 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,"Life, Physical, and Social Science Occupations",,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
7/9/14 19:47,7/9/14 19:48,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),outdoor power equipment sales and service,Male,45-60,"$50,000 - $99,999",High school degree,New England
7/9/14 19:47,7/9/14 19:52,"Single, but cohabiting with a significant other",1-5 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,We have different temperature preferences for the room,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Food Preparation and Serving Related Occupations,,Male,30-44,,Some college or Associate degree,West South Central
7/9/14 19:47,7/9/14 19:50,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,,,,We are no longer physically intimate,We have different temperature preferences for the room,,,,,,,After 20 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",,Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
